epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,69.5844,0.42616,0.77944,1,0.44966,0.000471266,0.000471266,0.000471266
2,175.788,0.16901,0.92077,1,0.21416,0.000918283,0.000918283,0.000918283
3,311.148,0.1268,0.88865,1,0.36913,0.00133583,0.00133583,0.00133583
4,384.19,0.12963,0.94861,1,0.14872,0.00129637,0.00129637,0.00129637
5,448.45,0.1045,0.9636,1,0.12569,0.00125216,0.00125216,0.00125216
6,512.068,0.09305,0.97216,1,0.079,0.00120795,0.00120795,0.00120795
7,962.249,0.07387,0.96574,1,0.08842,0.00116374,0.00116374,0.00116374
8,1035.92,0.06832,0.97645,1,0.07565,0.00111953,0.00111953,0.00111953
9,1114.47,0.06613,0.98073,1,0.06503,0.00107532,0.00107532,0.00107532
10,1198.28,0.04816,0.96788,1,0.0967,0.00103111,0.00103111,0.00103111
11,1287.28,0.04599,0.96574,1,0.09641,0.000986903,0.000986903,0.000986903
12,1370.58,0.04935,0.97645,1,0.08835,0.000942693,0.000942693,0.000942693
13,1434.31,0.04852,0.98501,1,0.06513,0.000898484,0.000898484,0.000898484
14,1475.57,0.03679,0.98501,1,0.05678,0.000854274,0.000854274,0.000854274
15,1519.69,0.03917,0.97859,1,0.07879,0.000810064,0.000810064,0.000810064
16,1562.2,0.03741,0.97216,1,0.11741,0.000765855,0.000765855,0.000765855
17,1603.98,0.03417,0.98287,1,0.10311,0.000721645,0.000721645,0.000721645
18,1645.98,0.02574,0.98501,1,0.0881,0.000677435,0.000677435,0.000677435
19,1687.37,0.01582,0.98501,1,0.06962,0.000633226,0.000633226,0.000633226
20,1728.95,0.01891,0.98073,1,0.09972,0.000589016,0.000589016,0.000589016
21,1779.36,0.02702,0.97645,1,0.09603,0.000544806,0.000544806,0.000544806
22,1834.61,0.02267,0.97859,1,0.09175,0.000500597,0.000500597,0.000500597
23,1876.58,0.01182,0.97859,1,0.10883,0.000456387,0.000456387,0.000456387
24,1926.05,0.028,0.98073,1,0.12075,0.000412177,0.000412177,0.000412177
25,1980.85,0.01474,0.98073,1,0.10831,0.000367967,0.000367967,0.000367967
26,2038.15,0.01805,0.98073,1,0.10406,0.000323758,0.000323758,0.000323758
27,2097.25,0.013,0.98073,1,0.09252,0.000279548,0.000279548,0.000279548
28,2160.63,0.01275,0.98073,1,0.09919,0.000235338,0.000235338,0.000235338
29,2226.88,0.01058,0.98073,1,0.09825,0.000191129,0.000191129,0.000191129
30,2285.33,0.01278,0.97859,1,0.09369,0.000146919,0.000146919,0.000146919
31,2343.82,0.00966,0.98073,1,0.086,0.000102709,0.000102709,0.000102709
32,2402.28,0.01416,0.97859,1,0.10137,5.84997e-05,5.84997e-05,5.84997e-05
